complaint_text,crime_category,financial_loss,payment_method,urgency
"I received a call from someone claiming to be from my bank SBI. They said my account was about to be blocked and asked me to share my OTP. I shared it and immediately ₹45000 was debited from my account.",OTP / Social Engineering,45000,UPI,CRITICAL
"Someone called me pretending to be a HDFC bank executive. They asked for my debit card number CVV and OTP. I gave it to them and lost ₹60000.",OTP / Social Engineering,60000,Debit Card,CRITICAL
"I got an SMS saying my account will be suspended. It had a link. I clicked it and entered my net banking credentials. Now my account shows unauthorized transactions of ₹30000.",Phishing,30000,Net Banking,CRITICAL
"I received an email from what looked like my bank asking me to verify my account by clicking a link. I clicked and entered my details. Later found ₹15000 missing.",Phishing,15000,Net Banking,HIGH
"I applied for a job online. They sent me an offer letter and asked for a registration fee of ₹2500 via UPI. After payment they asked for more fees and then stopped responding.",Job / Employment Fraud,2500,UPI,MEDIUM
"I found a job offer on WhatsApp for data entry work from home. They said I need to pay ₹5000 security deposit which will be refunded. I paid but never got any work or refund.",Job / Employment Fraud,5000,UPI,MEDIUM
"I invested ₹150000 in an online trading app they promoted on Telegram. Initially I could see profits but when I tried to withdraw they said I need to pay 20% tax first.",Investment Fraud,150000,Bank Transfer,CRITICAL
"Someone added me to a WhatsApp group about stock market investments. They showed fake profits. I invested ₹80000 total. Now the app doesn't work and they blocked me.",Investment Fraud,80000,UPI,HIGH
"I ordered a mobile phone from a website that looked genuine. I paid ₹12000 but received a soap box instead. The seller is not responding.",E-commerce Fraud,12000,UPI,MEDIUM
"I bought shoes for ₹3500 from an Instagram shop. They took payment but never delivered. The account is now deleted.",E-commerce Fraud,3500,UPI,LOW
"Someone created a fake Instagram profile using my photos and name. They are asking my friends for money. No financial loss yet.",Impersonation,0,Social Media,MEDIUM
"A fake Facebook account was made in my name. They are posting offensive content and messaging my contacts. I don't know who did it.",Impersonation,0,Social Media,MEDIUM
"I received a WhatsApp message from an unknown number saying my friend is in trouble and needs money urgently. I transferred ₹8000 before realizing it was a scam.",Social Media Fraud,8000,UPI,HIGH
"Someone hacked my Instagram account. Now they are posting stories asking my followers to send money. I cannot login to my account.",Account Compromise,0,Social Media,HIGH
"My Gmail was hacked. The hacker is sending emails to my contacts asking for money transfers. I have lost access.",Account Compromise,0,Email,HIGH
"My WhatsApp was taken over. The person is messaging all my contacts asking for money. I cannot access my own WhatsApp.",Account Compromise,0,Social Media,CRITICAL
"Someone used my PAN card and Aadhaar to take a loan of ₹200000 in my name. I got a loan repayment notice but never took any loan.",Identity Theft,0,Loan,CRITICAL
"I found a credit card was opened in my name without my knowledge. There are transactions I didn't make. My Aadhaar details were misused.",Identity Theft,0,Credit Card,HIGH
"I paid ₹20000 UPI to someone who said they would double it through cryptocurrency trading. They disappeared after payment.",Cryptocurrency Fraud,20000,UPI,HIGH
"I was told to invest in a new cryptocurrency. I sent ₹50000 worth of USDT to their wallet. Now the platform is down.",Cryptocurrency Fraud,50000,Crypto,HIGH
"Someone is threatening to share my personal photos online unless I pay ₹10000. They say they have my data.",Cyber Extortion,0,Threat,CRITICAL
"I am receiving threatening calls demanding ₹50000 or they will file false police cases against me. This has been going on for a week.",Cyber Extortion,0,Threat,CRITICAL
"My computer is infected. All files are locked and there is a message demanding ₹300000 in Bitcoin to unlock them.",Malware / Ransomware,0,Crypto,CRITICAL
"I clicked a link and now my phone is behaving strangely. Apps are opening by themselves and I think someone has remote access.",Malware / Ransomware,0,Device,HIGH
"I made a UPI payment of ₹5000 to a wrong UPI ID by mistake. I want to know how to get a refund.",UPI / Payment Fraud,5000,UPI,LOW
"Someone scanned a QR code on my behalf at a shop. ₹3200 was deducted from my account that I didn't authorize.",UPI / Payment Fraud,3200,UPI,MEDIUM
"I received a UPI request for ₹1 for verification. I approved it but ₹25000 got deducted. I don't know how.",UPI / Payment Fraud,25000,UPI,CRITICAL
"Fraudster posed as a buyer for my product listed on OLX. Sent a QR code for payment and ₹18000 was debited instead of credited.",UPI / Payment Fraud,18000,UPI,HIGH
"They said I won a lottery prize. I had to pay ₹10000 to claim ₹10 lakh prize. I paid but got nothing.",OTP / Social Engineering,10000,UPI,MEDIUM
"Received a message saying I got a refund of ₹5000 from income tax. Clicked the link and my bank account got hacked.",Phishing,20000,Net Banking,HIGH
"Applied for a loan online. They approved it and asked for processing fees of ₹3000. After paying they asked for insurance of ₹5000 too. Total loss ₹8000.",Job / Employment Fraud,8000,UPI,MEDIUM
"Fake matrimonial profile. The person chatted for months then said they are stuck abroad and need ₹50000 urgent help.",Social Media Fraud,50000,Bank Transfer,HIGH
"Received a message that I won iPhone. Need to pay ₹500 delivery charges. Paid but nothing came.",E-commerce Fraud,500,UPI,LOW
"Someone used my credit card details to make online purchases worth ₹35000. I never shared my card details.",Banking Fraud,35000,Credit Card,CRITICAL
"Unauthorized transactions happened in my savings account. ₹70000 withdrawn from ATM I didn't go to.",Banking Fraud,70000,ATM,CRITICAL
